id_producto,productos_descripcion,name,description,brand,specs,category,ingredients,specs_parsed,specs_dict,Size,Country of Origin,Countries,Stores,Alcohol %,Weight,Color,Unit Size & Type,Vintage,Style,Length,Product Group,Model Number,Width,Binding,Part Number,Manufacturer,Height,Number Of Items,volume_raw,volume_ml
4015042111085,CERVEZA PILSENER MECKLENBURGER X 330 CC,Mecklenburger Cerveza Rubia Pilsener 330 Cc,No description found.,Mecklenburger,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,330 cc,330.0
4015042111214,CERVEZA DUNKEL MECKLENBURGER X 500 CC,Mecklenburger Cerveza Negra Premium Dunkel 500 Cc,No description found.,Mecklenburger,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,500 cc,500.0
4015042111641,CERVEZA IPA MECKLENBURGER X 500 CC,Mecklenburger Cerveza IPA 500 Cc,No description found.,Mecklenburger,[],Beer,,[],{},330ml,Belguim,,,4.20%,,,,,,,,,,,,,,,500 cc,500.0
5410228141266,cerveza STELLA ARTOIS 330cc porrón BOT-330-cc.,Stella Artois Beer Bottle 330ml,EN Stella Artois beer is a lager beer from Belgium. It has an accented flavor and a 5% alcohol graduation. Enjoy its improved flavor over the..,Stella Artois,"[['Alcohol %', '4.20%'], ['Size', '330ml'], ['Country of Origin', 'Belguim']]",Beer,"{'text': 'Water, Barley Malt, Hops, Alcohol'}","[['Alcohol %', '4.20%'], ['Size', '330ml'], ['Country of Origin', 'Belguim']]","{'Alcohol %': '4.20%', 'Size': '330ml', 'Country of Origin': 'Belguim'}",,,,,,,,,,,,,,,,,,,,330ml,330.0
5701598035706,CERVEZA WHEAT BEAR BEER LATA 500 CC,Bear Beer Cerveza Wheat En Lata 500 Cc,No description found.,Bear Beer,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,500 cc,500.0
5701598036031,CERVEZA LAGER BEAR BEER LATA 500 CC,Bear Beer Cerveza Lata -500ml,"Bear Beer Lager es una cerveza premium de color amarillo dorado tenue, caracterizada por su suavidad y un sutil aroma a lúpulo en el final. Con un equilibrio ideal entre aroma y amargor, se elabora utilizando ingredientes de la más alta calidad y un proceso de fermentación pura, lo que la convierte en un éxito reconocido a nivel mundial.",Bear Beer,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,500ml,500.0
5711018037067,CERVEZA SIN ALCOHOL MECKLENBURGER X 500 CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020020075539,VASO CERVEZA FREVO NADIR 320ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7051020098129,VASO CERVEZA STOUT NADIR 473ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7501064106859,cerveza CORONA Rubia 710cc BOT-710-cc.,Cerveza Corona 710 Ml,No description found.,,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,710 ml,710.0
7501064198847,cerveza CORONA Rubia 330cc BOT-330-cc.,Corona Cerv. X 330 Ml,"La Cerveza Corona es clara y brillante, de espuma blanca y consistente. Su selección de lúpulos se manifiesta en un amargor ligero y en unas sutiles notas aromáticas. Esta cerveza de cuerpo medio, fresca, balanceada, es muy fácil de beber. La Corona es elaborada con maltas de bajo tueste para aportar su color ligero y la hace en boca moderadamente dulce y recuerda al sabor del cereal.",Corona,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,330 ml,330.0
7651020096233,COPA CERVEZA DUBLIN NADIR 400ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791001010794,BIFERDIL CHAMPU CERVEZA MIEL 250 ML,Biferdil Shampoo Cerveza Y Miel 250 Ml,"Champú Cerveza y Miel El Champú Cerveza y Miel hidrata y da fuerza al cabello. El lúpulo presente en la cerveza contiene aminoácidos que nutren el pelo y proteínas que lo fortalecen. Además posee Vitamina B, Ácido Fólico y Biotina, que ayudan a mejorar el estado de la keratina presente en la fibra capilar. El tratamiento del cabello con cerveza estaba incluido en la rutina de belleza de los egipcios. La Miel con su contenido en oligoelementos y disacáridos es una gran aliada para nutrir y realzar el brillo del cabello. Contribuye además a atenuar los posibles daños debido a la exposición a factores externos (ambientales, químicos y mecánicos). El Champú Cerveza y Miel limpia e hidrata el cabello durante el lavado.Gracias a estos componentes el pelo lucirá más sano y brillante. Es ideal para el uso diario porque agrega volumen al cabello y lo mantiene suave y manejable.",Biferdil,[],Shampoo,,[],{},,,,,,,,,,,,,,,,,,,,250 ml,250.0
7791720040010,CERVEZA RUBIA APOLO PET X 1 LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791822688714,COPA CERVEZA NORUEGA 420cc,Rigolleau Copa Balón Noruega Cerveza Granel 420 Cc,No description found.,Rigolleau,[],,,[],{},340,,Spain,,,,,,,,,,,,,,,,,420 cc,420.0
7792798000395,cerveza BRAHMA Chopp 340cc Ret BOT-340-cc.,Brahma Cerveza 340 Cc,No description found.,Brahma,"[['Size', '340'], ['Countries', 'Spain']]",Beer,,"[['Size', '340'], ['Countries', 'Spain']]","{'Size': '340', 'Countries': 'Spain'}",,,,,,,,,,,,,,,,,,,,340 cc,340.0
7792798000425,cerveza NORTE Blanca BOT-1-lt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7792798000708,cerveza IGUANA Pilsener 1lt Ret BOT-1-lt.,Iguana Cerveza 1lt,No description found.,Iguana,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,1lt,1000.0
7792798000838,CERVEZA BRAHMA QAZUL 1000cc,Argentina Crown Bottle Caps Kronkorken Capsule Chapas,No description found.,,[],Bottle Caps,,[],{},,,,,,,,,,,,,,,,,,,,,
7792798001101,cerveza PATAGONIA Ipa Sauco OW 730cc BOT-730-ml.,Patagonia Cerveza Ipa 24.7 730 Ml,"Cerveza estilo Session IPA, muy tomable y refrescante, de amargor marcado otorgado por una combinación de lúpulos patagónicos. Cuenta con un intenso aroma a cítrico y frutal gracias a la técnica de agregado de lúpulo en frío llamada Dry Hopping. El agregado de sauco y miel en frio balancean el amargor del lúpulo, aportando cierta acidez y final seco. Combinación perfecta con platos con frutas, ensaladas agridulces y comida thai. Comidas con no mucha intensidad de sabor o grasa, pero sí aromáticas y especiadas. Risottos perfumados, cheesecake.",Patagonia,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,730 ml,730.0
7792798001293,cerveza STELLA ARTOIS Rubia 473cc LAT-473-cc.,Stella Artois Cerveza 473cc Lata,"La cerveza belga número 1 en ventas a nivel mundial. Stella Artois tiene una rica herencia que se remonta al año 1366 en Leuven, Bélgica, y es hoy en día el estándar de oro de la calidad en más de 80 países.",Stella Artois,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473cc,473.0
7792798001309,cerveza STELLA ARTOIS 473cc six pack TER PCK-6-un.,Stella Artois Cerveza Lata 473cc 6 Un,No description found.,Stella Artois,[],Beer,,[],{},473 Ml,,Spain,,,,,,,,,,,,,,,,,473cc,473.0
7792798001316,"CERVEZA NEGRA LATA, QUILMES STOUT, 473 cm3",Quilmes Cerveza Negra Stout Lata 473 Cc,No description found.,Quilmes,"[['Size', '473 Ml'], ['Countries', 'Spain']]",Beer,,"[['Size', '473 Ml'], ['Countries', 'Spain']]","{'Size': '473 Ml', 'Countries': 'Spain'}",,,,,,,,,,,,,,,,,,,,473 cc,473.0
7792798001323,"CERVEZA NEGRA LATA SIX PACK, QUILMES STOUT, 2838 cm3",Quilmes Cerveza Negra Stout 6 X 473 Cc,No description found.,Quilmes,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 cc,473.0
7792798001712,Pack Cerveza Rubia Golden 473cc 6 Unidades Andes Origen,Andes Cerveza Rubia Origen 473 Cc Pack 6 Un,"Adult signature will be required. This product may be subject to local regulations and restrictions in your country, province or state. If in doubt, please contact us or your local representatives for further information. Beverage taxes may apply. Quantity is limited to 1 pack per order.",Andes,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 cc,473.0
7792798001927,Pack X6 Cervezas Kilometro 24.7 Session Ipa Con Sauco 2838 Ml Patagonia,Patagonia Cerveza Pack Latas 473 Cc 6 Unidades,"Descubrí la Cerveza Patagonia 24.7 en Pack de 6 Sumergite en la experiencia de nuestra 24.7, una Session IPA que combina un amargor marcado con un intenso aroma cítrico y frutal. Ideal para aquellos que buscan un sabor único y refrescante, este pack es perfecto para compartir con amigos. Características Destacadas (Cerveza Patagonia 24.7 Lata 473ml x 6) Session IPA con amargor distintivo gracias a lúpulos patagónicos. Aroma intenso de cítricos y frutas, que despierta los sentidos. Adición de sauco y miel patagónicos que equilibran el amargor. Final seco y una leve acidez que la hacen irresistible. Presentación en lata de 473ml, ideal para llevar a cualquier lugar. Por qué nos gusta (Cerveza Patagonia 24.7) Porque es una cerveza que se disfruta en cada sorbo, perfecta para cualquier ocasión. Elevá tus encuentros y brindá con el sabor auténtico de Patagonia. Compralo ahora con envío a domicilio o retiro en tienda.",Patagonia,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 cc,473.0
7792798001934,CERVEZA AMBER LAGER 473 ML X 6 UNI PATAGONIA PAK 2838 ML,Patagonia Cerveza Amber Lager En Lata 473 Ml,"Disfrutá de la Cerveza Patagonia Amber Lager en Pack de 6 Descubrí nuestra Patagonia Amber Lager, una cerveza con un suave sabor a caramelo que no podés dejar pasar. Elaborada con una combinación del más puro lúpulo patagónico y cuatro maltas especiales, esta lager te ofrece un carácter maltoso y un color ámbar irresistible. Características Destacadas (Cerveza Patagonia Amber Lager Lata 473ml x 6) Sabor suave a caramelo que deleita el paladar. Elaborada con lúpulo patagónico y cuatro maltas especiales. Color ámbar característico que la hace visualmente atractiva. Perfecta para disfrutar en cualquier ocasión con amigos y familia. Presentación en lata de 473ml, ideal para llevar a todos lados. Por qué nos gusta (Cerveza Patagonia Amber Lager) Porque combina lo mejor de la tradición cervecera con el toque único de la Patagonia. Brindá con una cerveza que refleja la calidad y el carácter de su origen. Compralo ahora con envío a domicilio o retiro en tienda. Ingredientes. Agua, malta de cebada, cereales adjuntos, lúpulo, cebada.",Patagonia,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 ml,473.0
7792798001965,CERVEZA ROJA AMBER LAGER PATAGONIA LATA X 473 CC,Patagonia Cerveza Amber Lager Lata 473 Cc,"Patagonia Amber Lager es una cerveza con una combinación de lúpulos patagónicos y un blend de finas maltas que generan su color rojizo, un delicado aroma y un amargor apacible que permite dar a luz a un tostado delicioso. Ideal para acompañar carnes asadas y pastas con salsas especiadas.",Patagonia,[],Beer,,[],{},473 Cm3,,Argentina,,,,,,,,,,,,,,,,,473 cc,473.0
7792798001972,CERVEZA VARIED 24.7KM IPA PATAGONIA LATA X 473CC,Patagonia Cerveza Lata 473 Cc,"Cerveza rubia amarga, de un color dorado ayudado por el sauco es, como toda session beer, una cerveza de menor contenido alcohólico. Conservando un intenso aroma a lúpulo gracias a su técnica de Dry Hopping, combina una entrada cargada de amargor y un dejo dulce en el final a partir del sauco añadido en frío.",Patagonia,"[['Size', '473 Cm3'], ['Countries', 'Argentina']]",Beer,"{'text': 'Agua, Malta De Cebada, Miel, Jugo De Sauco, Lúpulo'}","[['Size', '473 Cm3'], ['Countries', 'Argentina']]","{'Size': '473 Cm3', 'Countries': 'Argentina'}",1l,,Spain,,,,,,,,,,,,,,,,,473 cc,473.0
7792798002115,CERVEZA RUBIA RETORNABLE ANDES ORIGEN BOTELLA X1LT,Andes Origen Cerveza Rubia Lt,No description found.,Andes Origen,"[['Size', '1l'], ['Countries', 'Spain']]",Beer,,"[['Size', '1l'], ['Countries', 'Spain']]","{'Size': '1l', 'Countries': 'Spain'}",1l,,Spain,,,,,,,,,,,,,,,,,,
7792798002122,CERVEZA ROJA RETORNABLE ANDES ORIGEN BOTELLA X 1LT,Andes Origen Cerveza Roja 1L,No description found.,Andes Origen,"[['Size', '1l'], ['Countries', 'Spain']]",Beer,,"[['Size', '1l'], ['Countries', 'Spain']]","{'Size': '1l', 'Countries': 'Spain'}",,,,,,,,,,,,,,,,,,,,1l,1000.0
7792798002139,cerveza ANDES ORIGEN Negra 1lt Ret BOT-1-lt.,Andes Origen Cerveza Negra X 1 Lt,No description found.,Andes Origen,[],Beer,,[],{},340cm,,Spain,,,,,,,,,,,,,,,,,1 lt,1000.0
7792798002153,cerveza ANDES ORIGEN Roja 340cc BOT-340-cc.,Andes Origen Cerveza Roja 340Ml Retornable,No description found.,Andes Origen,"[['Size', '340cm'], ['Countries', 'Spain']]",Beer,,"[['Size', '340cm'], ['Countries', 'Spain']]","{'Size': '340cm', 'Countries': 'Spain'}",,,,,,,,,,,,,,,,,,,,340ml,340.0
7792798002245,cerveza ANDES LAT 473cc LAT-473-cc.,Andes Cerveza Blanca Lata 473 Cc,No description found.,Andes,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 cc,473.0
7792798002252,cerveza ANDES six pack 473 cc LAT-473-cc.,Andes Cerveza Lata 473ml X6,No description found.,Andes,[],Beer,,[],{},473cm,,Spain,,,,,,,,,,,,,,,,,473ml,473.0
7792798002320,cerveza ANDES ORIGEN Negra 473cc LAT-473-cc.,Andes Origen Mendocina Cerveza Negra Lata 473 Cc,No description found.,Andes Origen Mendocina,"[['Size', '473cm'], ['Countries', 'Spain']]",Beer,,"[['Size', '473cm'], ['Countries', 'Spain']]","{'Size': '473cm', 'Countries': 'Spain'}",,,,,,,,,,,,,,,,,,,,473 cc,473.0
7792798002337,"CERVEZA MENDOCINA ROJA LATA X6U, ANDES ORIGEN, 2838 cm3",Andes Pack X6 Cerveza Origen Roja 473 Ml,"Adult signature will be required. This product may be subject to local regulations and restrictions in your country, province or state. If in doubt, please contact us or your local representatives for further information. Beverage taxes may apply. Quantity is limited to 1 pack per order.",Andes,[],Beer,,[],{},,,,,,,,,,,,,,,,,,,,473 ml,473.0
7792798002344,CERVEZA NEGRA 473 ML X 6 UNI ANDES ORIGEN PAK 2838 ML,Andes Cerveza Origen Negra Six Pack,No description found.,Andes,[],Beer,,[],{},730,,Spain,,,,,,,,,,,,,,,,,,
7792798002351,"CERVEZA S/RETORNO AMBER LAGER, PATAGONIA, 730 cm3",Patagonia Cerveza Amber Lager 730 Ml,"En Patagonia Amber Lager encontrarás una cerveza de un suave sabor a caramelo, elaborada con una combinación de 4 maltas, que le dan su característico color ámbar y sabor maltoso, dejando un sutil dulzor en boca. El sabor de la caramelización de las maltas puede recordarnos a sabores de cebollas caramelizadas, salsas agridulces, salsas de caramelo en postres cremosos. Otros platos infalibles son las carnes rojas grilladas, hamburguesas, y batatas asadas. Su sutil sabor dulce la hace perfecta para acompañar platos agridulces.",Patagonia,"[['Size', '730'], ['Countries', 'Spain']]",Beer,,"[['Size', '730'], ['Countries', 'Spain']]","{'Size': '730', 'Countries': 'Spain'}",,,,,,,,,,,,,,,,,,,,730 ml,730.0
7792798002368,cerveza PATAGONIA Bohemian 740cc BOT-740-cc.,Patagonia Cerveza Bohemian Pilsener 730 Ml,No description found.,Patagonia,[],Beer,,[],{},730cm²,,"Argentina,uruguay",,,,,,,,,,,,,,,,,730 ml,730.0
7792798002375,cerveza PATAGONIA Weisse 730cc BOT-730-cc.,Patagonia Cerveza Weisse 730 Ml,"Patagonia Weisse es una cerveza tipo Belgian Witbier con trigo de cremosidad característica. En su aroma predomina la cáscara de naranja y el coriandro. Una cerveza de una complejidad en aromas que resulta muy fácil de tomar por su elevada refrescancia, bajo amargor y cuerpo liviano. Su acidez característica se complementa muy bien con platos como ceviche y escabeche. Los frutos de mar son perfectos para esta cerveza con trigo. Ideal para platos cítricos como Lemon Pie o cremas de naranja y otros postres de este estilo. Platos bien condimentados también son infalibles. El coriandro de la cerveza realza los sabores de platos especiados.",Patagonia,"[['Size', '730cm²'], ['Countries', 'Argentina,uruguay']]",Beer,"{'text': 'Agua, Malta De Cebada, Cereales, Malta De Trigo, Lupulo, Extracto Natural De Naranja Y Coriandro'}","[['Size', '730cm²'], ['Countries', 'Argentina,uruguay']]","{'Size': '730cm²', 'Countries': 'Argentina,uruguay'}",730,,Spain,,,,,,,,,,,,,,,,,730 ml,730.0
7792798002399,Pack X6 Cervezas Kilometro 24.7 En Botella 4380ml Patagonia,Patagonia 24_7 Cerveza 24.7 730 Ml,"Cerveza rubia amarga, de un color dorado ayudado por el sauco es, como toda session beer, una cerveza de menor contenido alcohólico. Conservando un intenso aroma a lúpulo gracias a su técnica de Dry Hopping, combina una entrada cargada de amargor y un dejo dulce en el final a partir del sauco añadido en frío.",Patagonia 24_7,"[['Size', '730'], ['Countries', 'Spain']]",Beer,,"[['Size', '730'], ['Countries', 'Spain']]","{'Size': '730', 'Countries': 'Spain'}",,,Spain,,,,,,,,,,,,,,,,,730 ml,730.0
7792798002566,"CERVEZA AMBER LAGER LATA, PATAGONIA, 473 cm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7792798002726,"CERVEZA IPA ANDINA LATA, ANDES ORIGEN, 473 cm3",Andes Cerveza Ipa Origen Lata 473cc,No description found.,Andes,"[['Countries', 'Spain']]",Beer,"{'text': 'Agua, Malta De Cebada, Lupulo, Mosto De Uva'}","[['Countries', 'Spain']]",{'Countries': 'Spain'},1l,,Spain,,,,,,,,,,,,,,,,,473cc,473.0
7792798002757,CERVEZA ORIGEN IPA RETORNABLE ANDES X 1LT,Andes Origen Cerveza Ipa 1L,No description found.,Andes Origen,"[['Size', '1l'], ['Countries', 'Spain']]",Beer,,"[['Size', '1l'], ['Countries', 'Spain']]","{'Size': '1l', 'Countries': 'Spain'}",,,,,,,,,,,,,,,,,,,,1l,1000.0
7792798002788,Cerveza Andes Origen Iparubia Lata 473 ml 6 Unidades,Andes Cerveza Ipa Origen 473 Cc Pack 6 Un,473.0 cc Cerveza Ipa Andes Origen 473 Cc Pack 6 Un - 473.0 cc.,Andes,[],Beer,,[],{},,,Spain,,,,,,,,,,,,,,,,,473 cc,473.0
